AVG_GRD,Activity_Type,AvgCourse,AvgInstructor,Course,CourseTitle,CrsLvlNum,CrsPBAColl,CrsPBADept,CrsPBADiv,Honors,Hours,Instruction_Mode,Level,NComb,NIntrFCQ,N,PCT,RAP,Section,Subject,Subject_Label,Workload,YearTerm,Instructors
2.98,LEC - Lecture,5.4,5.6,4808,Special Topics in World Areas History,4XXX,AS,HIST,AH,0,3,P  - In Person,Upper,2,1,,,0,001,HIST,History,,20137,
3.25,LEC - Lecture,5.15,5,4820,Human Rights: Historical Perspectives,4XXX,AS,HIST,AH,0,3,P  - In Person,Upper,1,1,,,0,002,HIST,History,,20137,
3.84,SEM - Seminar,4.73,4.91,5000,Historical Methods: Introduction to the Professional Study of History,5XXX,AS,HIST,AH,0,3,P  - In Person,Masters,1,1,,,1,801,HIST,History,,20137,
3.9,SEM - Seminar,5.27,5.36,6410,Readings in Environmental History,6XXX,AS,HIST,AH,0,3,P  - In Person,Masters,1,1,,,1,802,HIST,History,,20137,
3.8,SEM - Seminar,5.71,5.93,7052,Seminar: Modern European History,7XXX,AS,HIST,AH,0,3,P  - In Person,Doctoral,1,1,,,1,801,HIST,History,,20137,
4,SEM - Seminar,5.67,5.78,1001,Honors Coseminar,1XXX,AS,HONR,SS,1,1,HN - Honors Thesis Courses,Lower,1,1,,,0,880,HONR,Honors,,20137,
3.21,SEM - Seminar,5.13,5.5,1810,Honors Diversity Seminar,1XXX,AS,HONR,SS,1,3,HN - Honors Thesis Courses,Lower,1,1,,,0,880,HONR,Honors,,20137,
3.76,LEC - Lecture,5.36,5.73,2250,Ethics of Ambition,2XXX,AS,HONR,SS,1,3,HN - Honors Thesis Courses,Lower,1,1,,,0,880,HONR,Honors,,20137,
3.8,LEC - Lecture,,,2250,Ethics of Ambition,2XXX,AS,HONR,SS,1,3,P  - In Person,Lower,1,,,,0,888,HONR,Honors,,20137,
3.96,SEM - Seminar,5.08,5.54,2251,Introduction to the Bible,2XXX,AS,HONR,SS,1,3,HN - Honors Thesis Courses,Lower,1,1,,,0,880,HONR,Honors,,20137,
3.84,SEM - Seminar,,,2251,Introduction to the Bible,2XXX,AS,HONR,SS,1,3,P  - In Person,Lower,1,,,,0,888,HONR,Honors,,20137,
3.76,LEC - Lecture,,,2500,Open Topics,2XXX,AS,HONR,SS,1,3,P  - In Person,Lower,1,,,,0,888,HONR,Honors,,20137,
4,LEC - Lecture,,,2610,Leadership Practicum: Kittredge Honors Program Flock Leaders,2XXX,AS,HONR,SS,1,1,P  - In Person,Lower,1,,,,0,888,HONR,Honors,,20137,
3.98,SEM - Seminar,5.44,5.94,3220,Advanced Honors Writing Workshop,3XXX,AS,HONR,SS,1,3,HN - Honors Thesis Courses,Upper,1,1,,,0,880,HONR,Honors,,20137,
3.54,SEM - Seminar,,,3550,Open Topics,3XXX,AS,HONR,SS,1,1,P  - In Person,Upper,1,,,,0,888,HONR,Honors,,20137,
4,SEM - Seminar,,,3550,Open Topics,3XXX,AS,HONR,SS,1,1,P  - In Person,Upper,1,,,,0,889,HONR,Honors,,20137,
2.9,LEC - Lecture,4.24,4.81,1010,Introduction to Humanities 1,1XXX,AS,HUMN,AH,0,6,P  - In Person,Lower,3,6,,,0,100,HUMN,Humanities,,20137,
3.63,LEC - Lecture,4.59,5.08,2000,Methods and Approaches to the Humanities,2XXX,AS,HUMN,AH,0,3,P  - In Person,Lower,1,4,,,0,001,HUMN,Humanities,,20137,
3.19,SEM - Seminar,,,2100,"Arts, Culture and Media",2XXX,AS,HUMN,AH,0,3,P  - In Person,Lower,1,,,,0,280,HUMN,Humanities,,20137,
3.58,SEM - Seminar,5.46,5.5,3093,Topics in Humanities,3XXX,AS,HUMN,AH,0,3,P  - In Person,Upper,1,1,,,0,002,HUMN,Humanities,,20137,
2.57,SEM - Seminar,5.18,5.18,3093,Topics in Humanities,3XXX,AS,HUMN,AH,0,3,P  - In Person,Upper,1,1,,,0,003,HUMN,Humanities,,20137,
3.17,LEC - Lecture,5.62,5.93,3210,Narrative,3XXX,AS,HUMN,AH,0,3,P  - In Person,Upper,1,1,,,0,100,HUMN,Humanities,,20137,
3.52,LEC - Lecture,4.88,5.17,3240,Tragedy,3XXX,AS,HUMN,AH,0,3,P  - In Person,Upper,1,1,,,0,100,HUMN,Humanities,,20137,
3.13,LEC - Lecture,5.03,5.41,3660,The Postmodern,3XXX,AS,HUMN,AH,0,3,P  - In Person,Upper,2,1,,,0,010,HUMN,Humanities,,20137,
3.5,LEC - Lecture,5.37,5.63,4155,"Philosophy, Art, and the Sublime",4XXX,AS,HUMN,AH,0,3,P  - In Person,Upper,1,1,,,0,001,HUMN,Humanities,,20137,
3.78,LEC - Lecture,5.57,5.71,4835,Literature and Social Violence.,4XXX,AS,HUMN,AH,1,3,P  - In Person,Upper,1,1,,,0,880,HUMN,Humanities,,20137,
2.58,LEC - Lecture,5.24,5.46,1000,Global Issues and International Affairs,1XXX,AS,IAFS,SS,0,4,P  - In Person,Lower,1,1,,,0,100,IAFS,International Affairs,,20137,
3.39,LEC - Lecture,,,1000,Global Issues and International Affairs,1XXX,AS,IAFS,SS,0,4,P  - In Person,Lower,1,,,,0,130,IAFS,International Affairs,,20137,
3.23,SEM - Seminar,4.9,5.17,3000,Special Topics in International Affairs,3XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,,,0,001,IAFS,International Affairs,,20137,
3.06,SEM - Seminar,5.5,5.75,3000,Special Topics in International Affairs,3XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,,,0,002,IAFS,International Affairs,,20137,
2.9,SEM - Seminar,5.38,5.73,3000,Special Topics in International Affairs,3XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,,,0,003,IAFS,International Affairs,,20137,
3.49,SEM - Seminar,5.22,5.63,3000,Special Topics in International Affairs,3XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,,,0,005,IAFS,International Affairs,,20137,
3.62,SEM - Seminar,4.89,5.22,4500,The Post-Cold War World,4XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,,,0,001,IAFS,International Affairs,,20137,
2.95,SEM - Seminar,5.33,5.71,4500,The Post-Cold War World,4XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,,,0,002,IAFS,International Affairs,,20137,
3.61,SEM - Seminar,4.95,5.32,4500,The Post-Cold War World,4XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,,,0,003,IAFS,International Affairs,,20137,
3.49,SEM - Seminar,4,4,4500,The Post-Cold War World,4XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,,,0,004,IAFS,International Affairs,,20137,
3.58,INT - Internship,5.54,5.69,4930,Internship in International Affairs,4XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,,,1,801,IAFS,International Affairs,,20137,
3.5,LEC - Lecture,4.88,5.13,1950,Introduction to Scientific Writing in Integrative Physiology,1XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,1,,,0,001,IPHY,Integrative Physiology,,20137,
3.02,LEC - Lecture,4.9,4.78,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,1,,,0,001,IPHY,Integrative Physiology,,20137,
2.87,LEC - Lecture,5.35,5.23,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,1,,,0,002,IPHY,Integrative Physiology,,20137,
3.44,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,,,,0,170,IPHY,Integrative Physiology,,20137,
2.74,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,,,,0,260,IPHY,Integrative Physiology,,20137,
2.45,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,,,,0,261,IPHY,Integrative Physiology,,20137,
3.14,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,,,,0,280,IPHY,Integrative Physiology,,20137,
3.15,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,,,,0,281,IPHY,Integrative Physiology,,20137,
3.07,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,,,,0,430,IPHY,Integrative Physiology,,20137,
3.44,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,1,3,P  - In Person,Lower,1,,,,0,888,IPHY,Integrative Physiology,,20137,
2.93,LEC - Lecture,4.01,4.52,2800,Introduction to Statistics,2XXX,AS,IPHY,NS,0,4,P  - In Person,Lower,1,1,,,0,010,IPHY,Integrative Physiology,,20137,
4,PRA - Practicum,,,3010,Teaching in Integrative Physiology,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,,,,1,801,IPHY,Integrative Physiology,,20137,
4,PRA - Practicum,,,3010,Teaching in Integrative Physiology,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,,,,1,802,IPHY,Integrative Physiology,,20137,
4,PRA - Practicum,,,3010,Teaching in Integrative Physiology,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,,,,1,810,IPHY,Integrative Physiology,,20137,
2.92,LEC - Lecture,5.13,5.51,3060,Cell Physiology,3XXX,AS,IPHY,NS,0,4,P  - In Person,Upper,1,1,,,0,010,IPHY,Integrative Physiology,,20137,
2.52,LEC - Lecture,5.14,5.26,3410,Introduction to Human Anatomy,3XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,1,,,0,001,IPHY,Integrative Physiology,,20137,
2.46,LEC - Lecture,4.7,4.67,3410,Introduction to Human Anatomy,3XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,1,,,0,002,IPHY,Integrative Physiology,,20137,
2.27,LEC - Lecture,,,3410,Introduction to Human Anatomy,3XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,,,,0,190,IPHY,Integrative Physiology,,20137,
2.41,MLS - Main Lab,5.08,5.85,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,001,IPHY,Integrative Physiology,,20137,
2.91,MLS - Main Lab,4.8,4.7,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,002,IPHY,Integrative Physiology,,20137,
